User ID,Gender,Age,Activity Level,Location,App Sessions,Distance Travelled (km),Calories Burned
1,Female,22,Active,Suburban,151,140,728
2,Male,50,Active,Rural,157,115,523
3,Male,36,Active,Urban,178,163,795
4,Female,36,Active,Suburban,155,85,715
5,Male,34,Sedentary,Rural,95,71,439
6,Male,41,Sedentary,Suburban,80,60,197
7,Female,45,Sedentary,Urban,68,43,309
8,Male,59,Moderate,Urban,136,133,350
9,Female,54,Sedentary,Urban,87,50,336
10,Female,39,Active,Urban,187,135,702
11,Male,56,Active,Urban,179,171,833
12,Male,33,Moderate,Suburban,107,77,415
13,Female,52,Sedentary,Suburban,71,69,311
14,Male,44,Moderate,Rural,123,86,588
15,Female,29,Moderate,Rural,101,88,341
16,Female,45,Sedentary,Urban,86,51,407
17,Female,18,Moderate,Urban,102,94,291
18,Female,56,Sedentary,Suburban,82,70,329
19,Female,35,Sedentary,Urban,92,47,386
20,Female,40,Moderate,Urban,111,73,241
21,Male,39,Active,Urban,158,121,757
22,Female,21,Sedentary,Rural,67,50,173
23,Male,28,Active,Suburban,185,118,416
24,Male,35,Active,Rural,157,100,688
25,Male,24,Sedentary,Urban,62,60,130
26,Female,38,Active,Urban,199,164,759
27,Female,52,Moderate,Rural,138,75,471
28,Male,54,Moderate,Rural,107,84,488
29,Female,47,Active,Suburban,161,136,715
30,Male,34,Moderate,Urban,113,82,502
31,Female,50,Sedentary,Urban,69,37,284
32,Female,33,Sedentary,Rural,78,45,219
33,Female,32,Active,Suburban,182,162,652
34,Male,30,Moderate,Suburban,124,94,273
35,Male,56,Active,Urban,185,102,682
36,Male,20,Moderate,Urban,132,75,544
37,Female,41,Sedentary,Rural,81,43,218
38,Female,40,Moderate,Urban,138,102,361
39,Male,18,Moderate,Rural,112,109,274
40,Male,49,Active,Urban,185,97,812
41,Male,50,Sedentary,Urban,66,58,219
42,Female,47,Moderate,Urban,108,55,491
43,Male,19,Sedentary,Suburban,76,43,370
44,Female,35,Moderate,Urban,123,75,556
45,Female,47,Sedentary,Urban,97,80,395
46,Male,35,Moderate,Suburban,120,65,269
47,Female,22,Sedentary,Suburban,72,71,253
48,Female,22,Moderate,Urban,148,76,385
49,Female,25,Sedentary,Suburban,83,70,375
50,Female,26,Moderate,Suburban,116,102,401
51,Male,49,Moderate,Suburban,120,113,327
52,Female,31,Sedentary,Suburban,53,42,156
53,Male,30,Active,Rural,173,131,780
54,Female,35,Moderate,Urban,134,86,603
55,Male,21,Moderate,Rural,130,82,414
56,Female,39,Active,Urban,163,98,646
57,Male,37,Moderate,Suburban,130,84,585
58,Female,32,Sedentary,Rural,94,47,334
59,Male,24,Active,Suburban,188,120,431
60,Male,30,Moderate,Suburban,115,70,455
61,Male,51,Sedentary,Suburban,56,47,270
62,Female,58,Sedentary,Urban,71,54,220
63,Female,47,Active,Suburban,174,87,576
64,Male,22,Active,Urban,170,111,587
65,Female,18,Active,Urban,184,115,675
66,Male,48,Sedentary,Suburban,51,49,156
67,Male,37,Moderate,Urban,124,80,356
68,Female,36,Sedentary,Rural,62,59,257
69,Female,46,Sedentary,Urban,58,48,244
70,Female,55,Active,Suburban,173,159,700
71,Female,27,Moderate,Suburban,105,99,439
72,Female,46,Sedentary,Rural,61,32,304
73,Female,48,Active,Rural,167,103,560
74,Male,28,Active,Urban,186,111,588
75,Male,40,Moderate,Urban,117,97,417
76,Male,47,Moderate,Rural,141,111,334
77,Female,42,Active,Suburban,183,164,684
78,Male,33,Moderate,Suburban,102,99,451
79,Female,40,Moderate,Rural,148,95,691
80,Female,50,Sedentary,Rural,98,61,484
81,Female,54,Moderate,Suburban,146,136,630
82,Male,45,Active,Suburban,190,111,413
83,Male,44,Moderate,Urban,103,89,430
84,Female,23,Sedentary,Rural,50,29,139
85,Male,55,Moderate,Rural,100,84,420
86,Female,54,Sedentary,Rural,66,62,230
87,Female,23,Moderate,Suburban,100,53,268
88,Male,42,Moderate,Urban,113,106,376
89,Female,30,Active,Suburban,195,182,800
90,Female,50,Active,Rural,174,122,543
91,Female,50,Moderate,Rural,131,130,311
92,Female,42,Moderate,Rural,138,132,492
93,Male,31,Sedentary,Rural,96,57,280
94,Male,57,Sedentary,Rural,89,72,246
95,Female,58,Active,Suburban,163,107,330
96,Female,59,Moderate,Urban,143,85,608
97,Female,55,Moderate,Rural,100,73,277
98,Male,26,Sedentary,Rural,91,64,195
99,Male,35,Moderate,Rural,113,100,406
100,Male,32,Moderate,Suburban,134,128,456
101,Male,21,Moderate,Suburban,118,78,277
102,Male,51,Sedentary,Rural,93,68,186
103,Female,55,Sedentary,Rural,53,33,183
104,Male,34,Sedentary,Rural,95,78,289
105,Male,24,Moderate,Rural,119,74,474
106,Female,49,Sedentary,Rural,88,67,332
107,Male,40,Active,Suburban,191,108,497
108,Female,37,Active,Rural,160,154,622
109,Female,19,Sedentary,Rural,89,67,354
110,Male,38,Sedentary,Rural,70,40,217
111,Male,29,Moderate,Suburban,108,88,515
112,Male,59,Sedentary,Rural,85,66,184
113,Male,44,Sedentary,Suburban,94,74,365
114,Female,27,Active,Urban,163,93,430
115,Female,25,Active,Suburban,180,94,698
116,Male,38,Active,Rural,157,90,482
117,Female,39,Active,Suburban,166,114,336
118,Female,30,Sedentary,Rural,58,39,277
119,Female,57,Active,Suburban,194,97,850
120,Male,29,Moderate,Suburban,131,114,451
121,Female,34,Moderate,Urban,145,82,312
122,Female,26,Sedentary,Suburban,75,41,239
123,Female,57,Moderate,Urban,105,102,252
124,Male,29,Active,Urban,183,132,506
125,Female,26,Active,Suburban,174,88,617
126,Female,47,Moderate,Suburban,116,98,335
127,Female,23,Sedentary,Suburban,89,82,330
128,Female,42,Active,Urban,176,135,823
129,Female,45,Active,Rural,198,131,440
130,Female,27,Moderate,Rural,130,127,627
131,Female,58,Sedentary,Urban,87,57,281
132,Male,45,Sedentary,Urban,89,44,444
133,Male,46,Moderate,Suburban,114,89,412
134,Male,53,Active,Suburban,197,193,682
135,Male,28,Moderate,Rural,128,121,481
136,Male,38,Moderate,Rural,107,63,490
137,Male,55,Moderate,Rural,102,76,481
138,Female,43,Active,Suburban,154,95,316
139,Male,35,Active,Suburban,173,124,583
140,Male,21,Moderate,Urban,147,122,611
141,Male,58,Sedentary,Suburban,91,65,219
142,Male,32,Moderate,Rural,134,125,364
143,Female,40,Active,Urban,192,112,830
144,Female,58,Sedentary,Suburban,72,39,297
145,Female,23,Sedentary,Rural,79,67,191
146,Female,24,Active,Suburban,159,98,789
147,Male,32,Active,Urban,183,103,452
148,Female,26,Moderate,Suburban,109,75,518
149,Male,47,Active,Rural,163,162,537
150,Female,45,Sedentary,Urban,77,45,158
151,Male,47,Moderate,Rural,120,79,447
152,Male,25,Moderate,Urban,119,109,582
153,Female,52,Sedentary,Suburban,85,51,337
154,Female,52,Active,Suburban,165,85,595
155,Female,43,Moderate,Rural,147,92,581
156,Female,47,Sedentary,Suburban,51,35,121
157,Female,52,Sedentary,Urban,72,48,178
158,Female,55,Sedentary,Suburban,66,42,169
159,Female,28,Active,Suburban,163,112,379
160,Male,37,Active,Suburban,182,147,900
161,Female,48,Active,Suburban,163,125,753
162,Male,51,Active,Suburban,187,128,717
163,Male,29,Sedentary,Suburban,90,83,346
164,Female,45,Moderate,Suburban,112,57,347
165,Male,20,Sedentary,Suburban,64,57,239
166,Female,59,Moderate,Rural,101,74,270
167,Male,22,Moderate,Rural,133,70,564
168,Female,30,Moderate,Suburban,107,101,435
169,Female,29,Active,Rural,186,160,826
170,Female,18,Sedentary,Suburban,75,68,246
171,Female,36,Moderate,Suburban,123,110,432
172,Female,46,Sedentary,Suburban,50,40,137
173,Male,56,Active,Rural,187,113,524
